Action Name;Time (sequence)(s);Time (action)(s);Shear stress(Pa);Shear rate(s-¹);Shear strain(%);Normal force(N);Complex shear strain(%);Frequency(Hz);Complex shear stress(Pa);Shear modulus (elastic component)(Pa);Shear modulus (viscous component)(Pa);Shear modulus (complex component)(Pa);Torque(N m);Angular displacement(rad);Temperature(°C);Gap(mm)
Oscillation Single Frequency (4);4,236E+003;70,86;;;;0,1856;;;;;;;5,201E-007;4,603E-004;21,00;9,1500
Oscillation Single Frequency (4);4,236E+003;70,94;;;;0,1856;;;;;;;-2,060E-006;4,138E-004;21,00;9,1500
Oscillation Single Frequency (4);4,236E+003;71,01;;;;0,1854;;;;;;;-4,638E-006;3,673E-004;21,00;9,1500
Oscillation Single Frequency (4);4,236E+003;71,09;;;;0,1855;;;;;;;-7,214E-006;3,204E-004;21,00;9,1500
Oscillation Single Frequency (4);4,236E+003;71,17;;;;0,1853;;;;;;;-9,786E-006;2,746E-004;21,00;9,1500
Oscillation Single Frequency (4);4,236E+003;71,25;;;;0,1850;;;;;;;-1,235E-005;2,289E-004;21,00;9,1500
Oscillation Single Frequency (4);4,236E+003;71,33;;;;0,1850;;;;;;;-1,491E-005;1,822E-004;21,00;9,1500
Oscillation Single Frequency (4);4,236E+003;71,41;;;;0,1852;;;;;;;-1,746E-005;1,357E-004;21,00;9,1500
Oscillation Single Frequency (4);4,236E+003;71,48;;;;0,1853;;;;;;;-2,000E-005;8,876E-005;21,00;9,1500
Oscillation Single Frequency (4);4,236E+003;71,56;;;;0,1849;;;;;;;-2,253E-005;4,298E-005;21,00;9,1500
Oscillation Single Frequency (4);4,236E+003;71,64;;;;0,1848;;;;;;;-2,504E-005;-3,138E-006;21,00;9,1500
Oscillation Single Frequency (4);4,236E+003;71,72;;;;0,1850;;;;;;;-2,755E-005;-4,953E-005;21,00;9,1500
Oscillation Single Frequency (4);4,237E+003;71,80;;;;0,1851;;;;;;;-3,003E-005;-9,534E-005;21,00;9,1500
Oscillation Single Frequency (4);4,237E+003;71,87;;;;0,1848;;;;;;;-3,250E-005;-1,402E-004;21,00;9,1500
Oscillation Single Frequency (4);4,237E+003;71,95;;;;0,1851;;;;;;;-3,494E-005;-1,851E-004;21,00;9,1500
Oscillation Single Frequency (4);4,237E+003;72,03;;;;0,1849;;;;;;;-3,737E-005;-2,300E-004;21,00;9,1500
Oscillation Single Frequency (4);4,237E+003;72,11;;;;0,1851;;;;;;;-3,977E-005;-2,741E-004;21,00;9,1500
Oscillation Single Frequency (4);4,237E+003;72,19;;;;0,1849;;;;;;;-4,216E-005;-3,175E-004;21,00;9,1500
Oscillation Single Frequency (4);4,237E+003;72,26;;;;0,1850;;;;;;;-4,451E-005;-3,610E-004;21,00;9,1500
Oscillation Single Frequency (4);4,237E+003;72,34;;;;0,1850;;;;;;;-4,684E-005;-4,030E-004;21,00;9,1500
Oscillation Single Frequency (4);4,237E+003;72,42;;;;0,1851;;;;;;;-4,915E-005;-4,448E-004;21,00;9,1500
Oscillation Single Frequency (4);4,237E+003;72,50;;;;0,1852;;;;;;;-5,142E-005;-4,870E-004;21,00;9,1500
Oscillation Single Frequency (4);4,237E+003;72,58;;;;0,1852;;;;;;;-5,366E-005;-5,285E-004;21,00;9,1500
Oscillation Single Frequency (4);4,237E+003;72,66;;;;0,1853;;;;;;;-5,587E-005;-5,706E-004;21,00;9,1500
Oscillation Single Frequency (4);4,237E+003;72,73;;;;0,1849;;;;;;;-5,805E-005;-6,113E-004;21,00;9,1500
Oscillation Single Frequency (4);4,238E+003;72,81;;;;0,1848;;;;;;;-6,020E-005;-6,506E-004;21,00;9,1500
Oscillation Single Frequency (4);4,238E+003;72,89;;;;0,1849;;;;;;;-6,231E-005;-6,900E-004;21,00;9,1500
Oscillation Single Frequency (4);4,238E+003;72,97;;;;0,1849;;;;;;;-6,438E-005;-7,282E-004;21,00;9,1500
Oscillation Single Frequency (4);4,238E+003;73,05;;;;0,1851;;;;;;;-6,642E-005;-7,678E-004;21,00;9,1500
Oscillation Single Frequency (4);4,238E+003;73,12;;;;0,1851;;;;;;;-6,841E-005;-8,057E-004;21,00;9,1500
Oscillation Single Frequency (4);4,238E+003;73,20;;;;0,1852;;;;;;;-7,037E-005;-8,437E-004;21,00;9,1500
Oscillation Single Frequency (4);4,238E+003;73,28;;;;0,1850;;;;;;;-7,228E-005;-8,805E-004;21,00;9,1500
Oscillation Single Frequency (4);4,238E+003;73,36;;;;0,1852;;;;;;;-7,416E-005;-9,178E-004;21,00;9,1500
Oscillation Single Frequency (4);4,238E+003;73,44;;;;0,1850;;;;;;;-7,599E-005;-9,560E-004;21,00;9,1500
Oscillation Single Frequency (4);4,238E+003;73,51;;;;0,1852;;;;;;;-7,777E-005;-9,906E-004;21,00;9,1500
Oscillation Single Frequency (4);4,238E+003;73,59;;;;0,1849;;;;;;;-7,951E-005;-1,024E-003;21,00;9,1500
Oscillation Single Frequency (4);4,238E+003;73,67;;;;0,1850;;;;;;;-8,120E-005;-1,060E-003;21,00;9,1500
Oscillation Single Frequency (4);4,238E+003;73,75;;;;0,1852;;;;;;;-8,284E-005;-1,095E-003;21,00;9,1500
Oscillation Single Frequency (4);4,239E+003;73,83;;;;0,1847;;;;;;;-8,444E-005;-1,127E-003;21,00;9,1500
Oscillation Single Frequency (4);4,239E+003;73,91;;;;0,1850;;;;;;;-8,598E-005;-1,160E-003;21,00;9,1500
Oscillation Single Frequency (4);4,239E+003;73,98;;;;0,1849;;;;;;;-8,748E-005;-1,193E-003;21,00;9,1500
Oscillation Single Frequency (4);4,239E+003;74,06;;;;0,1848;;;;;;;-8,892E-005;-1,223E-003;21,00;9,1500
Oscillation Single Frequency (4);4,239E+003;74,14;;;;0,1846;;;;;;;-9,031E-005;-1,251E-003;21,00;9,1500
Oscillation Single Frequency (4);4,239E+003;74,22;;;;0,1849;;;;;;;-9,165E-005;-1,278E-003;21,00;9,1500
Oscillation Single Frequency (4);4,239E+003;74,30;;;;0,1850;;;;;;;-9,294E-005;-1,305E-003;21,00;9,1500
Oscillation Single Frequency (4);4,239E+003;74,37;;;;0,1847;;;;;;;-9,417E-005;-1,332E-003;21,00;9,1500
Oscillation Single Frequency (4);4,239E+003;74,45;;;;0,1844;;;;;;;-9,534E-005;-1,357E-003;21,00;9,1500
Oscillation Single Frequency (4);4,239E+003;74,53;;;;0,1846;;;;;;;-9,646E-005;-1,383E-003;21,00;9,1500
Oscillation Single Frequency (4);4,239E+003;74,61;;;;0,1846;;;;;;;-9,752E-005;-1,405E-003;21,00;9,1500
Oscillation Single Frequency (4);4,239E+003;74,69;;;;0,1850;;;;;;;-9,853E-005;-1,426E-003;21,00;9,1500
Oscillation Single Frequency (4);4,239E+003;74,76;;;;0,1847;;;;;;;-9,948E-005;-1,448E-003;21,00;9,1500
Oscillation Single Frequency (4);4,240E+003;74,84;;;;0,1845;;;;;;;-1,004E-004;-1,468E-003;21,00;9,1500
Oscillation Single Frequency (4);4,240E+003;74,92;;;;0,1846;;;;;;;-1,012E-004;-1,488E-003;21,00;9,1500
Oscillation Single Frequency (4);4,240E+003;75,00;;;;0,1848;;;;;;;-1,020E-004;-1,506E-003;21,00;9,1500
Oscillation Single Frequency (4);4,240E+003;75,08;;;;0,1844;;;;;;;-1,027E-004;-1,523E-003;21,00;9,1500
Oscillation Single Frequency (4);4,240E+003;75,16;;;;0,1843;;;;;;;-1,033E-004;-1,540E-003;21,00;9,1500
Oscillation Single Frequency (4);4,240E+003;75,23;;;;0,1846;;;;;;;-1,039E-004;-1,555E-003;21,00;9,1500
Oscillation Single Frequency (4);4,240E+003;75,31;;;;0,1847;;;;;;;-1,044E-004;-1,568E-003;21,00;9,1500
Oscillation Single Frequency (4);4,240E+003;75,39;;;;0,1846;;;;;;;-1,049E-004;-1,580E-003;21,00;9,1500
Oscillation Single Frequency (4);4,240E+003;75,47;;;;0,1843;;;;;;;-1,053E-004;-1,592E-003;21,00;9,1500
Oscillation Single Frequency (4);4,240E+003;75,55;;;;0,1844;;;;;;;-1,057E-004;-1,605E-003;21,00;9,1500
Oscillation Single Frequency (4);4,240E+003;75,62;;;;0,1846;;;;;;;-1,059E-004;-1,612E-003;21,00;9,1500
Oscillation Single Frequency (4);4,240E+003;75,70;;;;0,1844;;;;;;;-1,062E-004;-1,621E-003;21,00;9,1500
Oscillation Single Frequency (4);4,240E+003;75,78;;;;0,1847;;;;;;;-1,063E-004;-1,628E-003;21,00;9,1500
Oscillation Single Frequency (4);4,241E+003;75,86;;;;0,1848;;;;;;;-1,064E-004;-1,633E-003;21,00;9,1500
Oscillation Single Frequency (4);4,241E+003;75,94;;;;0,1846;;;;;;;-1,064E-004;-1,638E-003;21,00;9,1500
Oscillation Single Frequency (4);4,241E+003;76,01;;;;0,1846;;;;;;;-1,064E-004;-1,642E-003;21,00;9,1500
Oscillation Single Frequency (4);4,241E+003;76,09;;;;0,1846;;;;;;;-1,063E-004;-1,645E-003;21,00;9,1500
Oscillation Single Frequency (4);4,241E+003;76,17;;;;0,1844;;;;;;;-1,062E-004;-1,647E-003;21,00;9,1500
Oscillation Single Frequency (4);4,241E+003;76,25;;;;0,1845;;;;;;;-1,059E-004;-1,647E-003;21,00;9,1500
Oscillation Single Frequency (4);4,241E+003;76,33;;;;0,1846;;;;;;;-1,057E-004;-1,646E-003;21,00;9,1500
Oscillation Single Frequency (4);4,241E+003;76,41;;;;0,1845;;;;;;;-1,053E-004;-1,643E-003;21,00;9,1500
Oscillation Single Frequency (4);4,241E+003;76,48;;;;0,1846;;;;;;;-1,049E-004;-1,640E-003;21,00;9,1500
Oscillation Single Frequency (4);4,241E+003;76,56;;;;0,1849;;;;;;;-1,044E-004;-1,635E-003;21,00;9,1500
Oscillation Single Frequency (4);4,241E+003;76,64;;;;0,1850;;;;;;;-1,039E-004;-1,631E-003;21,00;9,1500
Oscillation Single Frequency (4);4,241E+003;76,72;;;;0,1849;;;;;;;-1,033E-004;-1,625E-003;21,00;9,1500
Oscillation Single Frequency (4);4,242E+003;76,80;;;;0,1848;;;;;;;-1,027E-004;-1,618E-003;21,00;9,1500
Oscillation Single Frequency (4);4,242E+003;76,87;;;;0,1846;;;;;;;-1,020E-004;-1,607E-003;21,00;9,1500
Oscillation Single Frequency (4);4,242E+003;76,95;;;;0,1848;;;;;;;-1,012E-004;-1,596E-003;21,00;9,1500
Oscillation Single Frequency (4);4,242E+003;77,03;;;;0,1848;;;;;;;-1,004E-004;-1,584E-003;21,00;9,1500
Oscillation Single Frequency (4);4,242E+003;77,11;;;;0,1852;;;;;;;-9,947E-005;-1,573E-003;21,00;9,1500
Oscillation Single Frequency (4);4,242E+003;77,19;;;;0,1850;;;;;;;-9,853E-005;-1,561E-003;21,00;9,1500
Oscillation Single Frequency (4);4,242E+003;77,26;;;;0,1848;;;;;;;-9,752E-005;-1,548E-003;21,00;9,1500
Oscillation Single Frequency (4);4,242E+003;77,34;;;;0,1845;;;;;;;-9,646E-005;-1,531E-003;21,00;9,1500
Oscillation Single Frequency (4);4,242E+003;77,42;;;;0,1849;;;;;;;-9,534E-005;-1,515E-003;21,00;9,1500
Oscillation Single Frequency (4);4,242E+003;77,50;;;;0,1851;;;;;;;-9,417E-005;-1,497E-003;21,00;9,1500
Oscillation Single Frequency (4);4,242E+003;77,58;;;;0,1854;;;;;;;-9,293E-005;-1,481E-003;21,00;9,1500
Oscillation Single Frequency (4);4,242E+003;77,66;;;;0,1852;;;;;;;-9,165E-005;-1,462E-003;21,00;9,1500
Oscillation Single Frequency (4);4,242E+003;77,73;;;;0,1853;;;;;;;-9,031E-005;-1,441E-003;21,00;9,1500
Oscillation Single Frequency (4);4,243E+003;77,81;;;;0,1853;;;;;;;-8,892E-005;-1,419E-003;21,00;9,1500
Oscillation Single Frequency (4);4,243E+003;77,89;;;;0,1850;;;;;;;-8,747E-005;-1,398E-003;21,00;9,1500
Oscillation Single Frequency (4);4,243E+003;77,97;;;;0,1852;;;;;;;-8,598E-005;-1,375E-003;21,00;9,1500
Oscillation Single Frequency (4);4,243E+003;78,05;;;;0,1854;;;;;;;-8,443E-005;-1,352E-003;21,00;9,1500
Oscillation Single Frequency (4);4,243E+003;78,12;;;;0,1852;;;;;;;-8,284E-005;-1,327E-003;21,00;9,1500
Oscillation Single Frequency (4);4,243E+003;78,20;;;;0,1853;;;;;;;-8,119E-005;-1,301E-003;21,00;9,1500
Oscillation Single Frequency (4);4,243E+003;78,28;;;;0,1852;;;;;;;-7,950E-005;-1,275E-003;21,00;9,1500
Oscillation Single Frequency (4);4,243E+003;78,36;;;;0,1853;;;;;;;-7,776E-005;-1,249E-003;21,00;9,1500
Oscillation Single Frequency (4);4,243E+003;78,44;;;;0,1853;;;;;;;-7,598E-005;-1,222E-003;21,00;9,1500
Oscillation Single Frequency (4);4,243E+003;78,51;;;;0,1848;;;;;;;-7,415E-005;-1,193E-003;21,00;9,1500
Oscillation Single Frequency (4);4,243E+003;78,59;;;;0,1850;;;;;;;-7,228E-005;-1,161E-003;21,00;9,1500
Oscillation Single Frequency (4);4,243E+003;78,67;;;;0,1852;;;;;;;-7,036E-005;-1,130E-003;21,00;9,1500
Oscillation Single Frequency (4);4,243E+003;78,75;;;;0,1854;;;;;;;-6,841E-005;-1,098E-003;21,00;9,1500
Oscillation Single Frequency (4);4,244E+003;78,83;;;;0,1851;;;;;;;-6,641E-005;-1,066E-003;21,00;9,1500
Oscillation Single Frequency (4);4,244E+003;78,91;;;;0,1851;;;;;;;-6,438E-005;-1,033E-003;21,00;9,1500
Oscillation Single Frequency (4);4,244E+003;78,98;;;;0,1850;;;;;;;-6,230E-005;-9,986E-004;21,00;9,1500
Oscillation Single Frequency (4);4,244E+003;79,06;;;;0,1852;;;;;;;-6,019E-005;-9,640E-004;21,00;9,1500
Oscillation Single Frequency (4);4,244E+003;79,14;;;;0,1851;;;;;;;-5,805E-005;-9,273E-004;21,00;9,1500
Oscillation Single Frequency (4);4,244E+003;79,22;;;;0,1855;;;;;;;-5,587E-005;-8,915E-004;21,00;9,1500
Oscillation Single Frequency (4);4,244E+003;79,30;;;;0,1854;;;;;;;-5,366E-005;-8,566E-004;21,00;9,1500
Oscillation Single Frequency (4);4,244E+003;79,37;;;;0,1854;;;;;;;-5,141E-005;-8,213E-004;21,00;9,1500
Oscillation Single Frequency (4);4,244E+003;79,45;;;;0,1852;;;;;;;-4,914E-005;-7,831E-004;21,00;9,1500
Oscillation Single Frequency (4);4,244E+003;79,53;;;;0,1851;;;;;;;-4,683E-005;-7,456E-004;21,00;9,1500
Oscillation Single Frequency (4);4,244E+003;79,61;;;;0,1849;;;;;;;-4,450E-005;-7,087E-004;21,00;9,1500
Oscillation Single Frequency (4);4,244E+003;79,69;;;;0,1848;;;;;;;-4,215E-005;-6,703E-004;21,00;9,1500
Oscillation Single Frequency (4);4,244E+003;79,76;;;;0,1851;;;;;;;-3,977E-005;-6,314E-004;21,00;9,1500
Oscillation Single Frequency (4);4,245E+003;79,84;;;;0,1853;;;;;;;-3,736E-005;-5,923E-004;21,00;9,1500
Oscillation Single Frequency (4);4,245E+003;79,92;;;;0,1850;;;;;;;-3,494E-005;-5,518E-004;21,00;9,1500
Oscillation Single Frequency (4);4,245E+003;80,00;;;;0,1850;;;;;;;-3,249E-005;-5,105E-004;21,00;9,1500
Oscillation Single Frequency (4);4,245E+003;80,08;;;;0,1852;;;;;;;-3,002E-005;-4,699E-004;21,00;9,1500
Oscillation Single Frequency (4);4,245E+003;80,16;;;;0,1850;;;;;;;-2,754E-005;-4,292E-004;21,00;9,1500
Oscillation Single Frequency (4);4,245E+003;80,23;;;;0,1848;;;;;;;-2,504E-005;-3,880E-004;21,00;9,1500
Oscillation Single Frequency (4);4,245E+003;80,31;;;;0,1851;;;;;;;-2,252E-005;-3,451E-004;21,00;9,1500
Oscillation Single Frequency (4);4,245E+003;80,39;;;;0,1852;;;;;;;-2,000E-005;-3,020E-004;21,00;9,1500
Oscillation Single Frequency (4);4,245E+003;80,47;;;;0,1852;;;;;;;-1,745E-005;-2,588E-004;21,00;9,1500
Oscillation Single Frequency (4);4,245E+003;80,55;;;;0,1849;;;;;;;-1,490E-005;-2,166E-004;21,00;9,1500
Oscillation Single Frequency (4);4,245E+003;80,62;;;;0,1848;;;;;;;-1,234E-005;-1,715E-004;21,00;9,1500
Oscillation Single Frequency (4);4,245E+003;80,70;;;;0,1850;;;;;;;-9,778E-006;-1,269E-004;21,00;9,1500
Oscillation Single Frequency (4);4,245E+003;80,78;;;;0,1848;;;;;;;-7,206E-006;-8,221E-005;21,00;9,1500
Oscillation Single Frequency (4);4,246E+003;80,86;;;;0,1850;;;;;;;-4,630E-006;-3,585E-005;21,00;9,1500
Oscillation Single Frequency (4);4,246E+003;80,94;;;;0,1850;;;;;;;-2,051E-006;1,142E-005;21,00;9,1500
Oscillation Single Frequency (4);4,246E+003;81,01;;;;0,1848;;;;;;;5,284E-007;5,702E-005;21,00;9,1500
Oscillation Single Frequency (4);4,246E+003;81,09;;;;0,1848;;;;;;;3,108E-006;1,038E-004;21,00;9,1500
Oscillation Single Frequency (4);4,246E+003;81,17;;;;0,1846;;;;;;;5,686E-006;1,500E-004;21,00;9,1500
Oscillation Single Frequency (4);4,246E+003;81,25;;;;0,1849;;;;;;;8,260E-006;1,964E-004;21,00;9,1500
Oscillation Single Frequency (4);4,246E+003;81,33;;;;0,1845;;;;;;;1,083E-005;2,427E-004;21,00;9,1500
Oscillation Single Frequency (4);4,246E+003;81,41;;;;0,1849;;;;;;;1,339E-005;2,900E-004;21,00;9,1500
Oscillation Single Frequency (4);4,246E+003;81,48;;;;0,1850;;;;;;;1,595E-005;3,376E-004;21,00;9,1500
Oscillation Single Frequency (4);4,246E+003;81,56;;;;0,1847;;;;;;;1,849E-005;3,829E-004;21,00;9,1500
Oscillation Single Frequency (4);4,246E+003;81,64;;;;0,1848;;;;;;;2,103E-005;4,286E-004;21,00;9,1500
Oscillation Single Frequency (4);4,246E+003;81,72;;;;0,1847;;;;;;;2,355E-005;4,727E-004;21,00;9,1500
Oscillation Single Frequency (4);4,247E+003;81,80;;;;0,1847;;;;;;;2,606E-005;5,185E-004;21,00;9,1500
Oscillation Single Frequency (4);4,247E+003;81,87;;;;0,1850;;;;;;;2,855E-005;5,649E-004;21,00;9,1500
Oscillation Single Frequency (4);4,247E+003;81,95;;;;0,1849;;;;;;;3,103E-005;6,122E-004;21,00;9,1500
Oscillation Single Frequency (4);4,247E+003;82,03;;;;0,1851;;;;;;;3,349E-005;6,580E-004;21,00;9,1500
Oscillation Single Frequency (4);4,247E+003;82,11;;;;0,1852;;;;;;;3,593E-005;7,039E-004;21,00;9,1500
Oscillation Single Frequency (4);4,247E+003;82,19;;;;0,1850;;;;;;;3,835E-005;7,491E-004;21,00;9,1500
Oscillation Single Frequency (4);4,247E+003;82,26;;;;0,1850;;;;;;;4,074E-005;7,935E-004;21,00;9,1500
Oscillation Single Frequency (4);4,247E+003;82,34;;;;0,1848;;;;;;;4,311E-005;8,376E-004;21,00;9,1500
Oscillation Single Frequency (4);4,247E+003;82,42;;;;0,1847;;;;;;;4,546E-005;8,805E-004;21,00;9,1500
Oscillation Single Frequency (4);4,247E+003;82,50;;;;0,1850;;;;;;;4,778E-005;9,240E-004;21,00;9,1500
Oscillation Single Frequency (4);4,247E+003;82,58;;;;0,1855;;;;;;;5,007E-005;9,670E-004;21,00;9,1500
Oscillation Single Frequency (4);4,247E+003;82,66;;;;0,1855;;;;;;;5,233E-005;1,008E-003;21,00;9,1500
Oscillation Single Frequency (4);4,247E+003;82,73;;;;0,1850;;;;;;;5,456E-005;1,048E-003;21,00;9,1500
Oscillation Single Frequency (4);4,248E+003;82,81;;;;0,1847;;;;;;;5,676E-005;1,091E-003;21,00;9,1500
Oscillation Single Frequency (4);4,248E+003;82,89;;;;0,1846;;;;;;;5,893E-005;1,130E-003;21,00;9,1500
Oscillation Single Frequency (4);4,248E+003;82,97;;;;0,1843;;;;;;;6,106E-005;1,169E-003;21,00;9,1500
Oscillation Single Frequency (4);4,248E+003;83,05;;;;0,1844;;;;;;;6,315E-005;1,208E-003;21,00;9,1500
Oscillation Single Frequency (4);4,248E+003;83,12;;;;0,1846;;;;;;;6,521E-005;1,248E-003;21,00;9,1500
Oscillation Single Frequency (4);4,248E+003;83,20;;;;0,1850;;;;;;;6,723E-005;1,286E-003;21,00;9,1500
Oscillation Single Frequency (4);4,248E+003;83,28;;;;0,1848;;;;;;;6,921E-005;1,324E-003;21,00;9,1500
Oscillation Single Frequency (4);4,248E+003;83,36;;;;0,1845;;;;;;;7,115E-005;1,360E-003;21,00;9,1500
Oscillation Single Frequency (4);4,248E+003;83,44;;;;0,1846;;;;;;;7,305E-005;1,396E-003;21,00;9,1500
Oscillation Single Frequency (4);4,248E+003;83,51;;;;0,1846;;;;;;;7,491E-005;1,432E-003;21,00;9,1500
Oscillation Single Frequency (4);4,248E+003;83,59;;;;0,1848;;;;;;;7,672E-005;1,466E-003;21,00;9,1500
Oscillation Single Frequency (4);4,248E+003;83,67;;;;0,1851;;;;;;;7,848E-005;1,502E-003;21,00;9,1500
Oscillation Single Frequency (4);4,248E+003;83,75;;;;0,1849;;;;;;;8,020E-005;1,534E-003;21,00;9,1500
Oscillation Single Frequency (4);4,249E+003;83,83;;;;0,1848;;;;;;;8,187E-005;1,567E-003;21,00;9,1500
Oscillation Single Frequency (4);4,249E+003;83,91;;;;0,1850;;;;;;;8,350E-005;1,601E-003;21,00;9,1500
Oscillation Single Frequency (4);4,249E+003;83,98;;;;0,1847;;;;;;;8,507E-005;1,631E-003;21,00;9,1500
Oscillation Single Frequency (4);4,249E+003;84,06;;;;0,1846;;;;;;;8,660E-005;1,662E-003;21,00;9,1500
Oscillation Single Frequency (4);4,249E+003;84,14;;;;0,1846;;;;;;;8,807E-005;1,692E-003;21,00;9,1500
Oscillation Single Frequency (4);4,249E+003;84,22;;;;0,1846;;;;;;;8,949E-005;1,722E-003;21,00;9,1500
Oscillation Single Frequency (4);4,249E+003;84,30;;;;0,1846;;;;;;;9,086E-005;1,751E-003;21,00;9,1500
Oscillation Single Frequency (4);4,249E+003;84,37;;;;0,1843;;;;;;;9,218E-005;1,779E-003;21,00;9,1500
Oscillation Single Frequency (4);4,249E+003;84,45;;;;0,1849;;;;;;;9,344E-005;1,806E-003;21,00;9,1500
Oscillation Single Frequency (4);4,249E+003;84,53;;;;0,1847;;;;;;;9,465E-005;1,829E-003;21,00;9,1500
Oscillation Single Frequency (4);4,249E+003;84,61;;;;0,1847;;;;;;;9,580E-005;1,853E-003;21,00;9,1500
Oscillation Single Frequency (4);4,249E+003;84,69;;;;0,1847;;;;;;;9,690E-005;1,877E-003;21,00;9,1500
Oscillation Single Frequency (4);4,249E+003;84,76;;;;0,1851;;;;;;;9,794E-005;1,902E-003;21,00;9,1500
Oscillation Single Frequency (4);4,250E+003;84,84;;;;0,1853;;;;;;;9,892E-005;1,925E-003;21,00;9,1500
Oscillation Single Frequency (4);4,250E+003;84,92;;;;0,1852;;;;;;;9,984E-005;1,944E-003;21,00;9,1500
Oscillation Single Frequency (4);4,250E+003;85,00;;;;0,1850;;;;;;;1,007E-004;1,963E-003;21,00;9,1500
Oscillation Single Frequency (4);4,250E+003;85,08;;;;0,1850;;;;;;;1,015E-004;1,982E-003;21,00;9,1500
Oscillation Single Frequency (4);4,250E+003;85,16;;;;0,1849;;;;;;;1,023E-004;1,998E-003;21,00;9,1500
Oscillation Single Frequency (4);4,250E+003;85,23;;;;0,1848;;;;;;;1,029E-004;2,015E-003;21,00;9,1500
Oscillation Single Frequency (4);4,250E+003;85,31;;;;0,1846;;;;;;;1,036E-004;2,032E-003;21,00;9,1500
Oscillation Single Frequency (4);4,250E+003;85,39;;;;0,1847;;;;;;;1,041E-004;2,048E-003;21,00;9,1500
Oscillation Single Frequency (4);4,250E+003;85,47;;;;0,1843;;;;;;;1,046E-004;2,059E-003;21,00;9,1500
Oscillation Single Frequency (4);4,250E+003;85,55;;;;0,1847;;;;;;;1,051E-004;2,069E-003;21,00;9,1500
Oscillation Single Frequency (4);4,250E+003;85,62;;;;0,1846;;;;;;;1,055E-004;2,082E-003;21,00;9,1500
Oscillation Single Frequency (4);4,250E+003;85,70;;;;0,1847;;;;;;;1,058E-004;2,092E-003;21,00;9,1500
Oscillation Single Frequency (4);4,250E+003;85,78;;;;0,1847;;;;;;;1,060E-004;2,100E-003;21,00;9,1500
Oscillation Single Frequency (4);4,251E+003;85,86;;;;0,1848;;;;;;;1,062E-004;2,107E-003;21,00;9,1500
Oscillation Single Frequency (4);4,251E+003;85,94;;;;0,1849;;;;;;;1,064E-004;2,113E-003;21,00;9,1500
Oscillation Single Frequency (4);4,251E+003;86,01;;;;0,1851;;;;;;;1,064E-004;2,119E-003;21,00;9,1500
Oscillation Single Frequency (4);4,251E+003;86,09;;;;0,1848;;;;;;;1,064E-004;2,124E-003;21,00;9,1500
Oscillation Single Frequency (4);4,251E+003;86,17;;;;0,1847;;;;;;;1,064E-004;2,126E-003;21,00;9,1500
Oscillation Single Frequency (4);4,251E+003;86,25;;;;0,1848;;;;;;;1,063E-004;2,128E-003;21,00;9,1500
Oscillation Single Frequency (4);4,251E+003;86,33;;;;0,1847;;;;;;;1,061E-004;2,127E-003;21,00;9,1500
Oscillation Single Frequency (4);4,251E+003;86,41;;;;0,1847;;;;;;;1,058E-004;2,127E-003;21,00;9,1500
Oscillation Single Frequency (4);4,251E+003;86,48;;;;0,1849;;;;;;;1,055E-004;2,126E-003;21,00;9,1500
Oscillation Single Frequency (4);4,251E+003;86,56;;;;0,1854;;;;;;;1,052E-004;2,124E-003;21,00;9,1500
Oscillation Single Frequency (4);4,251E+003;86,64;;;;0,1853;;;;;;;1,047E-004;2,120E-003;21,00;9,1500
Oscillation Single Frequency (4);4,251E+003;86,72;;;;0,1852;;;;;;;1,042E-004;2,114E-003;21,00;9,1500
Oscillation Single Frequency (4);4,252E+003;86,80;;;;0,1853;;;;;;;1,037E-004;2,108E-003;21,00;9,1500
Oscillation Single Frequency (4);4,252E+003;86,87;;;;0,1847;;;;;;;1,031E-004;2,101E-003;21,00;9,1500
Oscillation Single Frequency (4);4,252E+003;86,95;;;;0,1849;;;;;;;1,024E-004;2,093E-003;21,00;9,1500
Oscillation Single Frequency (4);4,252E+003;87,03;;;;0,1849;;;;;;;1,017E-004;2,083E-003;21,00;9,1500
Oscillation Single Frequency (4);4,252E+003;87,11;;;;0,1846;;;;;;;1,009E-004;2,073E-003;21,00;9,1500
Oscillation Single Frequency (4);4,252E+003;87,19;;;;0,1846;;;;;;;1,000E-004;2,062E-003;21,00;9,1500
Oscillation Single Frequency (4);4,252E+003;87,26;;;;0,1849;;;;;;;9,909E-005;2,048E-003;21,00;9,1500
Oscillation Single Frequency (4);4,252E+003;87,34;;;;0,1846;;;;;;;9,812E-005;2,035E-003;21,00;9,1500
Oscillation Single Frequency (4);4,252E+003;87,42;;;;0,1847;;;;;;;9,710E-005;2,019E-003;21,00;9,1500
Oscillation Single Frequency (4);4,252E+003;87,50;;;;0,1848;;;;;;;9,601E-005;2,003E-003;21,00;9,1500
Oscillation Single Frequency (4);4,252E+003;87,58;;;;0,1848;;;;;;;9,487E-005;1,987E-003;21,00;9,1500
Oscillation Single Frequency (4);4,252E+003;87,66;;;;0,1847;;;;;;;9,367E-005;1,969E-003;21,00;9,1500
Oscillation Single Frequency (4);4,252E+003;87,73;;;;0,1847;;;;;;;9,242E-005;1,950E-003;21,00;9,1500
Oscillation Single Frequency (4);4,253E+003;87,81;;;;0,1847;;;;;;;9,111E-005;1,930E-003;21,00;9,1500
Oscillation Single Frequency (4);4,253E+003;87,89;;;;0,1845;;;;;;;8,975E-005;1,909E-003;21,00;9,1500
