0.18,0.0126287,14.640,5.05829,20.00,-6.09
0.18,0.0101777,17.304,5.17521,20.00,-5.94
0.17,8.49248e-3,19.971,5.29311,20.00,-6.98
0.16,5.80024e-3,28.031,5.41055,20.00,-5.33
0.16,5.47563e-3,28.631,5.52845,20.00,-5.07
0.16,5.98255e-3,26.322,5.64569,20.00,-5.48

[step]
Flow sweep - 4
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress
Pa,1/s,Pa.s,min,°C,Pa
0.15,5.07664e-3,29.266,0.116380,20.00,-6.75
0.17,6.26928e-3,26.409,0.233277,20.00,-6.14
0.17,7.87523e-3,21.919,0.350155,20.00,-6.02
0.18,0.0100118,17.918,0.468095,20.00,-5.82
0.19,0.0125576,15.000,0.585023,20.00,-5.90
0.20,0.0158276,12.618,0.702250,20.00,-6.39
0.21,0.0199000,10.574,0.819482,20.00,-6.59
0.22,0.0250690,8.889,0.936925,20.00,-6.62
0.24,0.0315505,7.474,1.05390,20.00,-5.96
0.25,0.0397331,6.359,1.17097,20.00,-6.50
0.27,0.0500124,5.415,1.28801,20.00,-6.85
0.29,0.0629536,4.646,1.40492,20.00,-6.78
0.32,0.0792429,3.997,1.52214,20.00,-6.62
0.34,0.0997729,3.449,1.63942,20.00,-7.12
0.38,0.125585,2.994,1.75639,20.00,-7.23
0.41,0.158139,2.621,1.87394,20.00,-7.33
0.46,0.199067,2.298,1.99148,20.00,-7.09
0.51,0.250606,2.020,2.10839,20.00,-7.25
0.57,0.315504,1.798,2.22613,20.00,-7.15
0.64,0.397179,1.604,2.34352,20.00,-7.77
0.72,0.500013,1.437,2.46114,20.00,-7.87
0.82,0.629473,1.295,2.57875,20.00,-8.20
0.93,0.792440,1.172,2.69614,20.00,-8.95
1.06,0.997658,1.066,2.81369,20.00,-7.79
1.22,1.25595,0.974,2.93064,20.00,-7.89
1.41,1.58115,0.894,3.04854,20.00,-7.38
1.64,1.99055,0.823,3.16578,20.00,-6.71
1.91,2.50592,0.761,3.28348,20.00,-6.54
2.23,3.15481,0.706,3.40139,20.00,-6.74
2.61,3.97172,0.656,3.51797,20.00,-6.21
3.06,4.99999,0.612,3.63487,20.00,-7.09
3.60,6.29455,0.572,3.75293,20.00,-6.05
4.24,7.92444,0.535,3.87050,20.00,-6.64
5.00,9.97631,0.502,3.98810,20.00,-5.66
5.91,12.5595,0.471,4.10549,20.00,-7.15
6.99,15.8114,0.442,4.22243,20.00,-6.31
8.26,19.9054,0.415,4.33979,20.00,-6.34
9.77,25.0595,0.390,4.45685,20.00,-5.62
11.55,31.5481,0.366,4.57408,20.00,-5.61
13.65,39.7165,0.344,4.69188,20.00,-4.58
16.14,49.9996,0.323,4.80926,20.00,-3.83
19.07,62.9459,0.303,4.92617,20.00,-3.30
22.53,79.2430,0.284,5.04362,20.00,-3.48
26.62,99.7634,0.267,5.16084,20.00,-2.59
31.44,125.594,0.250,5.27834,20.00,-2.10
37.14,158.112,0.235,5.39538,20.00,-0.83
43.86,199.053,0.220,5.51311,20.00,-1.72
44.03,200.001,0.220,5.63076,20.00,-2.24

[step]
Peak hold - 5
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress
Pa,1/s,Pa.s,min,°C,Pa
21.01,189.544,0.111,0.0168667,20.00,-0.93
44.07,199.957,0.220,0.0334667,20.00,-2.26
44.09,199.971,0.220,0.0501333,20.00,-1.16
44.09,199.992,0.220,0.0668667,20.00,-2.37
44.10,200.002,0.220,0.0835333,20.00,-3.23
44.10,199.993,0.220,0.100133,20.00,-1.63
44.10,200.006,0.220,0.116867,20.00,-1.41
44.10,200.006,0.220,0.133533,20.00,-2.10
44.11,200.006,0.221,0.150200,20.00,-2.48
44.11,199.985,0.221,0.166933,20.00,-1.43
44.10,200.007,0.221,0.183600,20.00,-1.84
44.12,200.011,0.221,0.200267,20.00,-2.08
44.12,199.999,0.221,0.216800,20.00,-3.14
44.11,199.994,0.221,0.233467,20.00,-2.53
44.12,200.008,0.221,0.250267,20.00,-2.08
44.12,200.004,0.221,0.266867,20.00,-1.96
44.12,199.999,0.221,0.283467,20.00,-2.94
44.13,199.999,0.221,0.300200,20.00,-2.33
